,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
6195,,,30000.0,30000.0,29975.0, 36 months,6.62%,921.11,A,A2,Rbc bank,5 years,MORTGAGE,61500.0,Verified,Oct-11,Charged Off,n,,"  Borrower added on 09/30/11 > I am looking to expand an existing business, and buy an additional book of business.  We have been in business for 6 years, and continue to be profitable.<br/>null",small_business,6 year existing business loan,344xx,FL,15.4,0.0,Nov-97,0.0,,,8.0,0.0,3051.0,9.40%,25.0,f,0.0,0.0,19231.16,19215.27,15908.04,2513.57,0.0,809.55,8.089599995,Jul-13,26.6,,Oct-16,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
4865,,,15000.0,15000.0,15000.0, 36 months,7.90%,469.36,A,A4,Jay syed enterprice,10+ years,MORTGAGE,48000.0,Verified,Oct-11,Fully Paid,n,,  Borrower added on 10/18/11 > I need lone for personal use.<br/>,other,personal lone,112xx,NY,3.15,0.0,Feb-06,0.0,,,8.0,0.0,7276.0,38.70%,15.0,f,0.0,0.0,16896.70946,16896.71,15000.0,1896.71,0.0,0.0,0.0,Nov-14,474.69,,Sep-16,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
12886,,,20000.0,20000.0,19903.39604, 60 months,12.99%,454.96,C,C1,US Army Corps of Engineers,5 years,RENT,74872.0,Verified,Jun-11,Fully Paid,n,,"  Borrower added on 06/18/11 > This loan will be used to consolidate 2 credit cards, plus a car payment and a personal loan.<br/> Borrower added on 06/19/11 > I have a steady job with the federal government and have never missed a payment on any bill.  My current monthly income is $4,300 and debt makes up $1,300 of my monthly expenses.  This loan consolidation will lower my monthly payments by about $110.<br/>",debt_consolidation,Debt Consolidation Loan,207xx,MD,22.69,0.0,May-83,1.0,,,11.0,0.0,11127.0,49.70%,23.0,f,0.0,0.0,23206.37978,23050.11,20000.0,3206.38,0.0,0.0,0.0,Dec-12,6406.12,,Dec-12,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
12180,,,4400.0,4400.0,4400.0, 36 months,5.99%,133.84,A,A2,,5 years,OWN,48000.0,Not Verified,Jul-11,Fully Paid,n,,  Borrower added on 07/04/11 > 2002 bmw k1200lt<br/>,major_purchase,bmw,154xx,PA,17.93,0.0,Jun-90,1.0,,,6.0,0.0,9945.0,33.70%,18.0,f,0.0,0.0,4818.105855,4818.11,4400.0,418.11,0.0,0.0,0.0,Jul-14,135.94,,Apr-17,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
30218,,,14000.0,14000.0,13925.0, 36 months,13.48%,474.94,C,C3,Lahey Clinic,10+ years,RENT,122000.0,Not Verified,May-10,Fully Paid,n,," Borrower added on 05/06/10 > I've found my perfect retirement home! I have money for a 15% down payment right now, but, I would like to continue to save throughout the summer to come up with 20% down so I avoid the evil P.M.I.  <br/><br/>Since the house has been on the market for awhile, the sellers are willing to delay closing until mid-August, which by that time I will have a 20% down payment. However, the sellers are not willing to contribute to the closing costs at all, and I will be short on that amount. <br/><br/>Therefore, I am asking for help to come up with the eventual closing costs.  I am asking to borrow a total of $14,000:  closing costs of $11,000 and an additional $3,000 to consolidate my other Lending Club loan from 2 years ago (24 straight payments on time). <br/><br/>My income is $122,000 per year, I have been working 35 years straight at the same hospital, my rent is $1400 per month, my only debts are: credit cards-- about $500 total; car loan $190/month; current Lending Club loan from 2 years ago at $253/month.<br/><br/>Many thanks in advance.<br/>",house,Closing Costs and Lending Club Consolidation,019xx,MA,7.54,3.0,Sep-80,1.0,18.0,,15.0,0.0,1018.0,10.30%,47.0,f,0.0,0.0,16496.41407,16408.04,14000.0,2496.41,0.0,0.0,0.0,Feb-12,7020.44,,Mar-12,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
17005,,,14000.0,14000.0,14000.0, 36 months,16.02%,492.34,D,D5,FSC Corporation,10+ years,RENT,85000.0,Verified,Apr-11,Fully Paid,n,,"  Borrower added on 04/08/11 > I have paid off a lot of my high interest credit card debt with my previous Lending Club loans that I recently paid off in full. This loan will be used to continue to do this. <br/><br/>I am in the financial services field, and with the bad economy our business has been booming, as the need for new computer systems has become urgent and that is what I do - devise and program systems. I have been doing this for over fifteen years now and my work will be steady and certain for many years.<br/><br/>Thank you for your consideration!<br/> Borrower added on 04/10/11 > P.S.<br/>Even if with a improving economy, my work is sure to be steady and even increase with the ever expanding changes in financial laws, regulations, and bank requirements that will require additional computer programming to ensure monitoring, compliance, and reporting.<br/> Borrower added on 04/11/11 > As to some questions:<br/><br/>I am single, middle aged, have no dependents, and am very well established professionally. I live modestly, rent, do not own a home. Being in financial services and anticipating all the problems with home ownership years ago, I never got involved, thankfully. Real estate has proved to be a very bad, bad investment for most people in the last few years.<br/><br/>I do not own a car or take fancy vacations - too busy working. So the bottom line is that I live modestly and can easily afford payments. On my credit report, I have been only late a little bit on a credit card once in 5 years - in March of 06 and I think that was becuase a payment got lost in the mail. <br/><br/>I have SBT software and am very diligent in monitoring my expenses and making all my payments on time. My lending club loan will be on auto pay, as was my previous two that I paid off a little early recently and was never late with.<br/><br/>As to why I need this loan, years ago my elderly Dad came down with cancer and frankly got my myself in a hole. I have paid off about half of this all in the last three years and in the next should be completely done.<br/><br/>In addition, my company is doing very well and I expect bonus and extra compensation this year but have not put that down on my statement in that I don;t know exactly when and how much - but it is very probable.<br/>",debt_consolidation,Paydown High Interest Credit Cards,606xx,IL,18.28,0.0,Apr-92,1.0,61.0,,11.0,0.0,24607.0,87.90%,23.0,f,0.0,0.0,15822.40885,15822.41,14000.0,1822.41,0.0,0.0,0.0,Mar-12,10910.15,,Apr-12,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
22130,,,12000.0,12000.0,11500.0, 36 months,12.23%,399.9,C,C1,southwyck golf club - century golf ,7 years,RENT,62500.0,Not Verified,Dec-10,Fully Paid,n,,"  Borrower added on 12/15/10 > I have held a steady job as golf course superintendent since I graduated college with the same company the entire time.  I have worked my way to the position I am in today, and plan to continue moving up as the opportunity comes about.  I am requesting this money to pay off high interest credit cards(3) so I can begin looking into buying a house one day.  I have never been late on a credit card payment, but they have blown my interest rates up significantly this year, and they have not helped me when calling.  The entire loan will be used to pay off these 3 cards.<br/> Borrower added on 12/18/10 > I have taken a look at the 3 balances I initially wanted to apply this loan towards and have decided to only apply it towards 2 cards since they are carrying a high balance along with the high interest rate and the other is not carrying a a huge balance.<br/>",debt_consolidation,high interest rate consolidation,774xx,TX,14.82,0.0,Dec-96,1.0,,,8.0,0.0,22728.0,69.30%,13.0,f,0.0,0.0,14254.70968,13660.76,12000.0,2254.71,0.0,0.0,0.0,May-13,3479.25,,May-13,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
18244,,,8000.0,8000.0,8000.0, 36 months,11.11%,262.33,B,B5,UCLA,3 years,RENT,24000.0,Source Verified,Mar-11,Fully Paid,n,,"  Borrower added on 03/15/11 > I work at UCLA full-time. I'm so happy I found this site because my rate at Citifinancial is 36%!!!! that's horrible compared to the rate I found here. I'm going to be making a $300 monthly payment. Thank you very much and I can't wait to start investing too!!<br/> Borrower added on 03/16/11 > I've been married for 3 years now and am looking forward to a financially independent future. I'm determined, very smart and am a multi-talented musician. This loan is to strictly pay off my loan from Citi-Financial who raped me with their rate and I appreciate your investment in me and guarantee to pay this off in a great timely fashion.<br/> Borrower added on 03/16/11 > If you have any questions for me feel free to ask and i'll respond as quickly as possible.<br/>",debt_consolidation,Payoff Citifinancial Loan,902xx,CA,13.75,0.0,Nov-06,1.0,,,2.0,0.0,0.0,0%,9.0,f,0.0,0.0,9414.082429,9414.08,8000.0,1414.08,0.0,0.0,0.0,Mar-14,472.98,,Jun-18,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
391,,,15700.0,15700.0,14931.3097, 60 months,18.25%,400.82,D,D5,"CDC Builders, Inc.",10+ years,MORTGAGE,63000.0,Source Verified,Dec-11,Fully Paid,n,,,debt_consolidation,Consolidation,331xx,FL,17.43,0.0,Dec-99,1.0,,,12.0,0.0,9196.0,63%,16.0,f,0.0,0.0,23722.74002,21920.34,15700.0,8022.74,0.0,0.0,0.0,Jan-16,4483.38,,Feb-16,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
36759,,,1500.0,1500.0,1500.0, 36 months,10.95%,49.08,B,B1,Department of defense,10+ years,MORTGAGE,96996.0,Verified,May-09,Fully Paid,n,,Buying a Fish n Dive Kayak,other,Fish n Dive XF,329xx,FL,7.56,0.0,Apr-95,0.0,55.0,,8.0,0.0,9906.0,46.10%,38.0,f,0.0,0.0,1766.473432,1766.47,1500.0,266.47,0.0,0.0,0.0,May-12,57.13,,May-12,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
